  Item Name   ,  Inventory Group   ,  Primary Vendor   
" 1.25 Liter, Coke ", Beverages:Sodas , Coca-Cola Consolidated 
" 1.25 Liter, Diet Coke ", Beverages:Sodas , Coca-Cola Consolidated 
" 1.25 Liter, Gingerale ", Beverages:Sodas , Coca-Cola Consolidated 
" 1.25 Liter, Sprite ", Beverages:Sodas , Coca-Cola Consolidated 
" 12 ounce, Coke Championship ", Beverages:Sodas , Coca-Cola Consolidated 
 12Z CN DAS SPKLG BLK CHRY , Beverages:Water , Coca-Cola Consolidated 
 12Z CN DAS SPKLG BRY , Beverages:Water , Coca-Cola Consolidated 
 12Z CN DAS SPKLG LIM , Beverages:Water , Coca-Cola Consolidated 
 12Z DAS SPKLG LMN , Beverages:Water , Coca-Cola Consolidated 
 12Z DAS SPKLG RBY LMND , Beverages:Water , Coca-Cola Consolidated 
 12Z DAS SPKLG TRPCL PAPL , Beverages:Water , Coca-Cola Consolidated 
 12Z Diet Coke Blood Orange , Beverages:Sodas , Coca-Cola Consolidated 
 12Z Diet Coke Fiesty Cherry , Beverages:Sodas , Coca-Cola Consolidated 
 12Z Diet Coke Ginger , Beverages:Sodas , Coca-Cola Consolidated 
 12Z Diet Coke Mango , Beverages:Sodas , Coca-Cola Consolidated 
 14Z Yup Chocolate , Beverages:Dairy , Coca-Cola Consolidated 
 14Z Yup Dbl Chocolate , Beverages:Dairy , Coca-Cola Consolidated 
 14Z Yup Lowfat , Beverages:Dairy , Coca-Cola Consolidated 
 14Z Yup Strawberry , Beverages:Dairy , Coca-Cola Consolidated 
 14Z Yup Vanilla , Beverages:Dairy , Coca-Cola Consolidated 
" 20 ounce, Caffeine Free Diet Coke ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 Ounce, Cherry Coke ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 ounce, Cherry Coke Zero ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 ounce, Coke Classic ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 Ounce, Coke classic** ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 ounce, Coke Life ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 Ounce, Coke Zero ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 ounce, Diet Coke ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 ounce, Diet Coke Plus ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 ounce, Diet Coke w/ lime ", Beverages:Sodas , Coca-Cola Consolidated 
" 20 Ounce, Fanta Grape ", Beverages:Sodas , Coca-Cola Consolidated 
