Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"Odwalla, Mango Tango",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Mo' Beta",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Chocolate",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Vanilla",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Red Rhapsondy",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Superfood",Case (8  1 Each),1.0,1.0,18.4,18.4
"Simply, Lemonade 340mL",CASE (12  1 Each),2.0,2.0,16.8,33.6
"Simply, Raspberry lemonade 340mL",CASE (12  1 Each),2.0,2.0,16.8,33.6
F'REAL Cake Batter,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Chocolate,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Cold Brew,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Cookie Cream,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Mint Chip,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Reeses PB Cup,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Smoothies Mango,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Vanilla,CASE (12  1 Each),1.0,1.0,20.04,20.04
"Odwalla, Mango Tango",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Mo' Beta",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Vanilla",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Strawberry Banana",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Strawberry C Monster",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Superfood",Case (8  1 Each),1.0,1.0,18.4,18.4
"Simply, 52z Lemonade",CASE (6  1 Each),1.0,1.0,16.8,16.8
"Simply, 52z Orange Juice",CASE (6  1 Each),2.0,2.0,22.62,45.24
"Simply, Lemonade 340mL",CASE (12  1 Each),2.0,2.0,16.8,33.6
"Simply, Orange 340mL",CASE (12  1 Each),1.0,1.0,14.88,14.88
"Simply, Peach 340mL",CASE (12  1 Each),1.0,1.0,14.88,14.88
"Simply, Raspberry lemonade 340mL",CASE (12  1 Each),1.0,1.0,14.88,14.88
"Ben n Jerry's Pint, Cherry Garcia Fro Yo",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Chunky Monkey",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Cookie Dough/Chocolate",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Core Brownie Batter",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Core, The Tonight Dough",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Mint Chocolate Cookie",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Phish Food",Case (8  1 Each),1.0,1.0,28.96,28.96
Ben n Jerry's Slice Tonight Dough,CASE (24  1 Each),1.0,1.0,31.14,31.14
Ben n Jerry's Sliced Cookie Dough Pt,CASE (24  1 Each),1.0,1.0,33.3,33.3
Breyers Vanilla,CASE (6 Each),1.0,1.0,34.76,34.76
Evol SSRV Fire Grill Steak,Case (8  1 Each),1.0,1.0,31.68,31.68
Evol SSRV Mac&Cheese Truffle,Case (8  1 Each),1.0,1.0,31.68,31.68
TALENTI GEL 16OZ COF CHOC CHIP,CASE (8  15 Ounces),1.0,1.0,40.16,40.16
"Talenti Gelato, Mediterranean Mint",Case (8  1 Each),1.0,1.0,34.32,34.32
"Talenti Gelato, Roman Rasberry",Case (8  1 Each),1.0,1.0,34.32,34.32
"Odwalla, C Monster 450mL",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Mango Tango",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Chocolate",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Strawberry C Monster",Case (8  1 Each),1.0,1.0,18.4,18.4
"Simply, Lemonade 340mL",CASE (12  1 Each),2.0,2.0,14.88,29.76
"Simply, Orange 340mL",CASE (12  1 Each),1.0,1.0,14.88,14.88
"Simply, Raspberry lemonade 340mL",CASE (12  1 Each),2.0,2.0,14.88,29.76
"Ben n Jerry's Non-Dairy Pint, PButter Cookie",Case (8  1 Each),1.0,1.0,41.28,41.28
"Ben n Jerry's Pint, Chocolate Therapy",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Cinnamon Bun",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Milk n Cookie",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Mint Chocolate Cookie",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, PB & Cookies",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Phish Food",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Stephen Colbert Americone Drea",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Strawberry Cheesecake",Case (8  1 Each),1.0,1.0,28.96,28.96
F'REAL Cake Batter,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Chocolate,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Cookie Cream,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Mint Chip,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Reeses PB Cup,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Smoothies Pina Colada,CASE (12  1 Each),1.0,1.0,20.04,20.04
F'REAL Vanilla,CASE (12  1 Each),1.0,1.0,20.04,20.04
TALENTI layers CHOC CHER,Case (8  1 Each),1.0,1.0,40.16,40.16
TALENTI layers SALTED CAR,Case (8  1 Each),1.0,1.0,40.16,40.16
TALENTI layers VAN Fudge,Case (8  1 Each),1.0,1.0,40.16,40.16
Kraft American Singles,EACH (Each),3.0,3.0,4.21,12.63
"Odwalla, Blueberry B Monster",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, C Monster 450mL",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Mango Tango",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Chocolate",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Vanilla",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Strawberry Banana",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Superfood",Case (8  1 Each),1.0,1.0,18.4,18.4
"Simply, 52z Lemonade",CASE (6  1 Each),2.0,2.0,16.8,33.6
"Simply, 52z Orange Juice",CASE (6  1 Each),2.0,2.0,22.62,45.24
"Simply, 52z Rasp Lemonade",CASE (6  1 Each),2.0,2.0,16.8,33.6
"Simply, Lemonade 340mL",CASE (12  1 Each),2.0,2.0,14.88,29.76
"Simply, Orange 340mL",CASE (12  1 Each),2.0,2.0,14.88,29.76
"Simply, Raspberry lemonade 340mL",CASE (12  1 Each),3.0,3.0,14.88,44.64
"Ben n Jerry's Non-Dairy Pint, PButter Cookie",Case (8  1 Each),1.0,1.0,41.28,41.28
"Ben n Jerry's Pint, Core, Salted Caramel",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Core, The Tonight Dough",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Half Baked Fro Yo",Case (8  1 Each),1.0,1.0,28.96,28.96
"Ben n Jerry's Pint, Peanut Butter Cup",Case (8  1 Each),1.0,1.0,28.96,28.96
