Item Name,Inventory Group,Primary Vendor
" 1 Liter, BRSK PK LMND ", Beverages:Sodas , Pepsi Bottling Company 
" 1 Liter, BRSK STW MLN ", Beverages:Sodas , Pepsi Bottling Company 
" 1 Liter, Diet Pepsi ", Beverages:Sodas , Pepsi Bottling Company 
" 1 Liter, Dr Pepper ", Beverages:Sodas , Pepsi Bottling Company 
" 1 Liter, Pepsi ", Beverages:Sodas , Pepsi Bottling Company 
" 1 Liter, Sierra Mist ", Beverages:Sodas , Pepsi Bottling Company 
" 1.5 Liter, Schweppes Ginger Ale ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Bubly Blackberry 8pks ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Bubly Cherry 8pks ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Bubly Grapefruit 8pks ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Bubly Lime 8pks ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Bubly ORG SPK ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Diet Dr Pepper 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Diet Pepsi 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Dr Pepper 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Mountain Dew 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Pepsi 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Schweppes Ginger Ale 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Sierra Mist 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 12oz, Wild Cherry Pepsi 12packs ", Beverages:Sodas , Pepsi Bottling Company 
" 16oz Can, Mountain Dew Black Label ", Beverages:Sodas , Pepsi Bottling Company 
 16oz Yac Ogc Ym BRY , Beverages:Energy Drinks , Pepsi Bottling Company 
" 20oz, Diet Dr. Pepper ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Diet Mountain Dew ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Diet Pepsi ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Diet Sierra Mist ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Dr. Pepper ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Dr. Pepper Cherry ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Grape Crush ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Lit Gt Cit ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Mountain Dew ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Mountain Dew Code Red ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Mountain Dew MJR MLN ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Mountain Dew Voltage ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Mountain Dew Zero ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Mug Root Beer ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Orange Crush ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Pepsi ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Pepsi Zero ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Pineapple Crush ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Schweppes Ginger Ale ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Sierra Mist ", Beverages:Sodas , Pepsi Bottling Company 
" 20oz, Strawberry Crush ", Beverages:Sodas , Pepsi Bottling Company 
 Aquafina 1 Liter , Beverages:Water , Pepsi Bottling Company 
 Aquafina 16.9oz , Beverages:Water , Pepsi Bottling Company 
 Aquafina 16oz AL BTL , Beverages:Water , Pepsi Bottling Company 
