Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
Starbucks CB BLK UNSW,CASE (12  11 Ounces),12.0,1.0,28.64,28.64
"Starbucks, Double Shot Vanilla Energy",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Starbucks, Double Shot White Chocolate",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Nitro, Black",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),4.0,4.0,23.94,95.76
"Starbucks, small, Double shot, salted caramel",CASE (12  1 Each),4.0,4.0,23.94,95.76
"Starbucks, Triple Shot, French Vanilla",CASE (12  1 Each),2.0,2.0,27.0,54.0
"Starbucks, Triple Shot, Mocha",CASE (12  1 Each),2.0,2.0,27.0,54.0
"Bang, Black Cherry Vanilla",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Sour Heads",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Star Blast",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1.0,1.0,19.57,19.57
"Muscle Milk, Chocolate",CASE (12  1 Each),3.0,3.0,38.0,114.0
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),2.0,2.0,38.0,76.0
"Muscle Milk, Vanilla",CASE (12  1 Each),3.0,2.0,38.0,76.0
"Dole, 20oz Lemonade",CASE (24  1 Each),1.0,1.0,19.0,19.0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Glacier Cherry",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Orange",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Green Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Orange Carrot",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Power C Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Red Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Straw Banana",Case (8  1 Each),2.0,2.0,18.24,36.48
"Propel 20oz, Berry",CASE (12  1 Each),2.0,2.0,25.0,50.0
"Propel 20oz, Grape",CASE (12  1 Each),2.0,2.0,25.0,50.0
"Propel 20oz, Strawberry Lemonade",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Watermelon",CASE (12  1 Each),2.0,2.0,25.0,50.0
"Tropicana 12oz, Lemonade",CASE (12  1 Each),4.0,4.0,15.48,61.92
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2.0,2.0,15.48,30.96
"1 Liter, Diet Pepsi",CASE (12  1 Each),1.0,1.0,25.46,25.46
"12oz, Diet Dr Pepper 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"12oz, Mountain Dew 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"12oz, Pepsi 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"20oz, Orange Crush",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Pepsi Zero",CASE (24  1 Each),1.0,1.0,19.0,19.0
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Bubly 16oz, Blackberry",CASE (12  1 Each),2.0,2.0,9.0,18.0
"Bubly 16oz, Cherry",CASE (12  1 Each),2.0,1.0,9.0,9.0
"Bubly 16oz, Grapefruit",CASE (12  1 Each),4.0,4.0,9.0,36.0
"Bubly 16oz, Lime",CASE (12  1 Each),4.0,4.0,9.0,36.0
