"Item Name
",,"Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
,,,,,,
,,,,,,
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Red Rhapsondy",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, Lemonade 340mL",,CASE (12  1 Each),2,2,16.80,33.60
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),2,2,16.80,33.60
,,,,,,
,,,,,,
F'REAL Cake Batter,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Chocolate,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Cold Brew,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Cookie Cream,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Mint Chip,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Reeses PB Cup,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Smoothies Mango,,CASE (12  1 Each),1,1,20.04,20.04
F'REAL Vanilla,,CASE (12  1 Each),1,1,20.04,20.04
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),1,1,16.80,16.80
"Simply, 52z Orange Juice",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, Lemonade 340mL",,CASE (12  1 Each),2,2,16.80,33.60
"Simply, Orange 340mL",,CASE (12  1 Each),1,1,14.88,14.88
"Simply, Peach 340mL",,CASE (12  1 Each),1,1,14.88,14.88
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),1,1,14.88,14.88
"Ben n Jerry's Pint, Cherry Garcia Fro Yo",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Chunky Monkey",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Cookie Dough/Chocolate",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Core Brownie Batter",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Phish Food",,Case (8  1 Each),1,1,28.96,28.96
Ben n Jerry's Slice Tonight Dough,,CASE (24  1 Each),1,1,31.14,31.14
Ben n Jerry's Sliced Cookie Dough Pt,,CASE (24  1 Each),1,1,33.30,33.30
Breyers Vanilla,,CASE (6 Each),1,1,34.76,34.76
