"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
Starbucks CB BLK UNSW,CASE (12  11 Ounces),12,1,28.64,28.64
Starbucks CB CCO HNY,CASE (12  11 Ounces),,4,,0
"Starbucks, Double Shot Vanilla Energy",CASE (12  1 Each),1,1,27,27
"Starbucks, Double Shot White Chocolate",CASE (12  1 Each),1,1,27,27
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Caramel",CASE (12  1 Each),,1,,0
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2,2,24,48
"Starbucks, Frappuccino, Salted Dark Chocolate",CASE (12  1 Each),,1,,0
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),2,2,24,48
"Starbucks, Nitro, Black",CASE (12  1 Each),2,2,28,56
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),2,2,28,56
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),2,2,28,56
"Starbucks, small, Double shot Cubano",CASE (12  1 Each),,4,,0
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),4,4,23.94,95.76
"Starbucks, small, Double shot, salted caramel",CASE (12  1 Each),4,4,23.94,95.76
"Starbucks, Triple Shot, French Vanilla",CASE (12  1 Each),2,2,27,54
"Starbucks, Triple Shot, Mocha",CASE (12  1 Each),2,2,27,54
"Bang, Black Cherry Vanilla",CASE (12  1 Each),1,1,19,19
"Bang, Sour Heads",CASE (12  1 Each),1,1,19,19
"Bang, Star Blast",CASE (12  1 Each),1,1,19,19
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1,1,19.57,19.57
"Mountain Dew, Game Fuel Original",CASE (12  1 Each),,1,,0
"Muscle Milk, Chocolate",CASE (12  1 Each),3,3,38,114
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),2,2,38,76
"Muscle Milk, Vanilla",CASE (12  1 Each),3,2,38,76
"Dole, 20oz Lemonade",CASE (24  1 Each),1,1,19,19
"Dole, 20oz Strawberry Lemonade",CASE (24  1 Each),,2,,0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),2,2,18,36
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Glacier Cherry",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Orange",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Lemon Lime",CASE (24  1 Each),,1,,0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Green Machine",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Kale Blazer",Case (8  1 Each),,2,,0
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Orange Carrot",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Power C Machine",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Red Machine",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Straw Banana",Case (8  1 Each),2,2,18.24,36.48
"Propel 20oz, Berry",CASE (12  1 Each),2,2,25,50
"Propel 20oz, Grape",CASE (12  1 Each),2,2,25,50
"Propel 20oz, Strawberry Lemonade",CASE (12  1 Each),1,1,25,25
"Propel 20oz, Watermelon",CASE (12  1 Each),2,2,25,50
"Tropicana 12oz, Grape",CASE (12  1 Each),,2,,0
"Tropicana 12oz, Grapefruit",CASE (12  1 Each),,2,,0
"Tropicana 12oz, Lemonade",CASE (12  1 Each),4,4,15.48,61.92
"Tropicana 12oz, Raspberry Lemonade",CASE (12  1 Each),,4,,0
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2,2,15.48,30.96
"1 Liter, Diet Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"1 Liter, Sierra Mist",CASE (12  1 Each),,2,,0
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),,2,,0
"12oz, Diet Dr Pepper 12packs",CASE (2  1 Each),3,3,9,27
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),3,3,9,27
"12oz, Dr Pepper 12packs",CASE (2  1 Each),3,3,9,27
"12oz, Mountain Dew 12packs",CASE (2  1 Each),3,3,9,27
"12oz, Pepsi 12packs",CASE (2  1 Each),3,3,9,27
"12oz, Sierra Mist 12packs",CASE (2  1 Each),,3,,0
"20oz, Mountain Dew Voltage",CASE (24  1 Each),,1,,0
"20oz, Mug Root Beer",CASE (24  1 Each),,1,,0
"20oz, Orange Crush",CASE (24  1 Each),1,1,19,19
"20oz, Pepsi Zero",CASE (24  1 Each),1,1,19,19
"Bundaberg, Ginger Beer",CASE (24  1 Each),,4,,0
"Kevita, Ginger",CASE (12  1 Each),,2,,0
"Kevita, Mojita",CASE (12  1 Each),,1,,0
"Kevita, Pinapple Peach",CASE (12  1 Each),,2,,0
"Kevita, Raspberry Lemon",CASE (12  1 Each),,2,,0
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),2,2,19.09,38.18
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),2,2,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Green",CASE (12  1 Each),,2,,0
"Pure Leaf Tea, Lemon",CASE (12  1 Each),,2,,0
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),,2,,0
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1,1,14.58,14.58
"Bubly 16oz, Blackberry",CASE (12  1 Each),2,2,9,18
"Bubly 16oz, Cherry",CASE (12  1 Each),2,1,9,9
"Bubly 16oz, Grapefruit",CASE (12  1 Each),4,4,9,36
"Bubly 16oz, Lime",CASE (12  1 Each),4,4,9,36
LifeWTR 1 Liter,CASE (12  1 Each),8,8,17,136
LifeWTR 1.5 Liter,CASE (12  1 Each),6,6,21,126
LifeWTR 700ml Sport Cap,CASE (12  1 Each),10,10,14,140
Voss Glass Still 800ml,CASE (12  1 Each),8,8,22.8,182.4
Starbucks CB BLK UNSW,CASE (12  11 Ounces),6,6,28.64,171.84
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Caramel",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),1,1,24,24
"Starbucks, Nitro, Black",CASE (12  1 Each),1,1,28,28
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),1,1,28,28
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),1,1,28,28
"Bang, Black Cherry Vanilla",CASE (12  1 Each),1,1,19,19
"Bang, Sour Heads",CASE (12  1 Each),1,1,19,19
"Bang, Star Blast",CASE (12  1 Each),1,1,19,19
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1,1,19.57,19.57
"Mountain Dew, Game Fuel Original",CASE (12  1 Each),2,2,19.57,39.14
"Mountain Dew, Kick Start Fruit Punch",CASE (12  1 Each),1,1,12,12
"Mountain Dew, Kick Start Pinapple Orange Mango",CASE (12  1 Each),1,1,12,12
"Mountain Dew, Kick Start, Orange",CASE (12  1 Each),1,1,12,12
"Muscle Milk, Chocolate",CASE (12  1 Each),1,1,38,38
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),1,1,38,38
"Muscle Milk, Vanilla",CASE (12  1 Each),1,1,38,38
Rockstar Energy,CASE (24  1 Each),1,1,36,36
Rockstar Sugar Free,CASE (24  1 Each),1,1,36,36
"Dole, 20oz Lemonade",CASE (24  1 Each),1,1,19,19
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Glacier Cherry",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Orange",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Naked 15.2oz, Berry Blast",Case (8  1 Each),1,1,18.24,18.24
"Naked 15.2oz, Green Machine",Case (8  1 Each),1,1,18.24,18.24
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),1,1,18.24,18.24
"Naked 15.2oz, Power C Machine",Case (8  1 Each),1,1,18.24,18.24
"Naked 15.2oz, Red Machine",Case (8  1 Each),1,1,18.24,18.24
"Propel 20oz, Grape",CASE (12  1 Each),1,1,25,25
"Propel 20oz, Strawberry Lemonade",CASE (12  1 Each),1,1,25,25
"Propel 20oz, Watermelon",CASE (12  1 Each),1,1,25,25
"Tropicana 12oz, Apple Juice",CASE (12  1 Each),1,1,15.48,15.48
"1 Liter, Diet Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"1 Liter, Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"20oz, Diet Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Diet Mountain Dew",CASE (24  1 Each),1,1,19,19
"20oz, Diet Pepsi",CASE (24  1 Each),1,1,19,19
"20oz, Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Grape Crush",CASE (24  1 Each),1,1,19,19
"20oz, Mountain Dew",CASE (24  1 Each),1,1,19,19
"20oz, Mountain Dew Code Red",CASE (24  1 Each),1,1,19,19
"20oz, Mountain Dew Zero",CASE (24  1 Each),1,1,19,19
"20oz, Pepsi",CASE (24  1 Each),1,1,19,19
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),1,1,19,19
"20oz, Sierra Mist",CASE (24  1 Each),1,1,19,19
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),1,1,19.09,19.09
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),1,1,19.09,19.09
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),1,1,14.58,14.58
